condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr
natural,gpt2,gpt2,10,9,-0.3904347826086956,0.05925750969939877,24,0.9917089108208642
natural,gpt2,gpt2,10,11,-0.30347826086956514,0.14940850037488196,24,0.9917089108208642
natural,gpt2,gpt2,9,0,-0.288695652173913,0.17126415242206866,24,0.9917089108208642
natural,gpt2,gpt2,11,11,-0.2826086956521739,0.1808793683193114,24,0.9917089108208642
natural,gpt2,gpt2,9,7,-0.27478260869565213,0.19378063586855726,24,0.9917089108208642
natural,gpt2,gpt2,9,3,-0.25217391304347825,0.2345275709216195,24,0.9917089108208642
natural,gpt2,gpt2,10,0,-0.2417391304347826,0.2551064662177336,24,0.9917089108208642
natural,gpt2,gpt2,9,6,-0.20347826086956516,0.3402613966398863,24,0.9917089108208642
natural,gpt2,gpt2,11,3,-0.19999999999999998,0.34875573272354543,24,0.9917089108208642
natural,gpt2,gpt2,10,10,-0.1869565217391304,0.381708968635058,24,0.9917089108208642
natural,gpt2,gpt2,8,7,-0.1660869565217391,0.43796690160823903,24,0.9917089108208642
natural,gpt2,gpt2,8,2,-0.15826086956521737,0.460148912728106,24,0.9917089108208642
natural,gpt2,gpt2,8,4,-0.1417391304347826,0.5088324543263878,24,0.9917089108208642
natural,gpt2,gpt2,8,1,-0.13217391304347825,0.5381181783911482,24,0.9917089108208642
natural,gpt2,gpt2,11,9,-0.1226086956521739,0.5681672657020507,24,0.9917089108208642
natural,gpt2,gpt2,8,9,-0.11739130434782606,0.5848655143600632,24,0.9917089108208642
natural,gpt2,gpt2,10,6,-0.11652173913043477,0.587669032951115,24,0.9917089108208642
natural,gpt2,gpt2,11,2,-0.08956521739130434,0.6772689468428972,24,0.9917089108208642
natural,gpt2,gpt2,8,0,-0.05913043478260869,0.783735252825447,24,0.9917089108208642
natural,gpt2,gpt2,10,3,-0.05826086956521739,0.7868436161547347,24,0.9917089108208642
natural,gpt2,gpt2,9,9,-0.05565217391304347,0.7961874995255513,24,0.9917089108208642
natural,gpt2,gpt2,9,1,-0.05565217391304347,0.7961874995255513,24,0.9917089108208642
natural,gpt2,gpt2,9,8,-0.04869565217391304,0.8212344730022532,24,0.9917089108208642
natural,gpt2,gpt2,11,6,-0.04434782608695652,0.8369769840650598,24,0.9917089108208642
natural,gpt2,gpt2,8,6,-0.04347826086956521,0.8401329841149333,24,0.9917089108208642
natural,gpt2,gpt2,8,11,-0.042608695652173914,0.8432913759776878,24,0.9917089108208642
natural,gpt2,gpt2,8,5,-0.03739130434782608,0.8622893584755251,24,0.9917089108208642
natural,gpt2,gpt2,9,11,-0.03565217391304347,0.8686390462246146,24,0.9917089108208642
natural,gpt2,gpt2,10,2,-0.033913043478260865,0.8749966229566861,24,0.9917089108208642
natural,gpt2,gpt2,11,10,-0.02260869565217391,0.9164870430337815,24,0.9917089108208642
natural,gpt2,gpt2,11,5,-0.015652173913043476,0.9421320594035385,24,0.9917089108208642
natural,gpt2,gpt2,8,10,-0.015652173913043476,0.9421320594035385,24,0.9917089108208642
natural,gpt2,gpt2,11,8,0.0,1.0,24,1.0
natural,gpt2,gpt2,8,3,0.007826086956521738,0.9710483085120961,24,0.9917089108208642
natural,gpt2,gpt2,9,10,0.007826086956521738,0.9710483085120961,24,0.9917089108208642
natural,gpt2,gpt2,10,7,0.017391304347826087,0.9357145967179171,24,0.9917089108208642
natural,gpt2,gpt2,9,2,0.03304347826086956,0.8781782520387229,24,0.9917089108208642
natural,gpt2,gpt2,8,8,0.05130434782608695,0.8118206065534151,24,0.9917089108208642
natural,gpt2,gpt2,9,4,0.05304347826086955,0.8055586374612034,24,0.9917089108208642
natural,gpt2,gpt2,10,1,0.0626086956521739,0.7713343005112614,24,0.9917089108208642
natural,gpt2,gpt2,9,5,0.06695652173913043,0.7559095203776366,24,0.9917089108208642
natural,gpt2,gpt2,11,1,0.07913043478260869,0.7132155791016112,24,0.9917089108208642
natural,gpt2,gpt2,11,0,0.12956521739130433,0.546239269258583,24,0.9917089108208642
natural,gpt2,gpt2,11,4,0.13826086956521738,0.5193911494591459,24,0.9917089108208642
natural,gpt2,gpt2,10,5,0.20347826086956516,0.3402613966398863,24,0.9917089108208642
natural,gpt2,gpt2,11,7,0.25565217391304346,0.22791835585505182,24,0.9917089108208642
natural,gpt2,gpt2,10,4,0.3104347826086956,0.13984001582896138,24,0.9917089108208642
natural,gpt2,gpt2,10,8,0.497391304347826,0.013398524953480468,24,0.6431291977670625
